Format,OpenLAP Export
Venue,Paul Ricard
Vehicle,FE12
Driver,OpenLap
Device
Comment
Date,06/09/2025
Time,02:51:35
Frequency,50





distance,time,speed_max,elevation,speed,long_acc,lat_acc,sum_acc,Fz_aero,Fx_aero,Fz_mass
distance,time,speed_max,elevation,speed,long_acc,lat_acc,sum_acc,Fz_aero,Fx_aero,Fz_mass
m,s,m/s,m,m/s,m/s/s,m/s/s,m/s/s,N,N,N


45.980667,1.140000,41.211113,423.050751,41.211113,0.000000,0.225749,0.225749,2937.896729,1341.472046,-2648.370605
46.804890,1.160000,41.211113,423.042511,41.211113,0.000000,0.230561,0.230561,2937.896729,1341.472046,-2648.487793
47.629112,1.180000,41.211113,423.034485,41.211113,0.000000,0.239485,0.239485,2937.896729,1341.472046,-2648.581543
48.453339,1.200000,41.211113,423.021851,41.211113,0.000000,0.252340,0.252340,2937.896729,1341.472046,-2648.635986
49.277557,1.220000,41.211113,423.011108,41.211113,0.000000,0.262221,0.262221,2937.896729,1341.472046,-2648.662842
50.101784,1.240000,41.211113,423.011322,41.211113,0.000000,0.258095,0.258095,2937.896729,1341.472046,-2648.683105
50.926003,1.260000,41.211113,423.011475,41.211113,0.000000,0.226973,0.226973,2937.896729,1341.472046,-2648.698730
51.750225,1.280000,41.211113,423.011658,41.211113,0.000000,0.210037,0.210037,2937.896729,1341.472046,-2648.699951
52.574440,1.300000,41.211113,423.011841,41.211113,0.000000,0.194511,0.194511,2937.896729,1341.472046,-2648.699951
53.398674,1.320000,41.211113,423.012054,41.211113,0.000000,0.171505,0.171505,2937.896729,1341.472046,-2648.699951
54.222893,1.340000,41.211113,423.012238,41.211113,0.000000,0.136413,0.136413,2937.896729,1341.472046,-2648.699951
55.047112,1.360000,41.211113,423.012421,41.211113,0.000000,0.091146,0.091146,2937.896729,1341.472046,-2648.699951
55.871334,1.380000,41.211113,423.012604,41.211113,0.000000,0.060443,0.060443,2937.896729,1341.472046,-2648.699951
56.695557,1.400000,41.211113,423.012787,41.211113,0.000000,0.029923,0.029923,2937.896729,1341.472046,-2648.699951
57.519779,1.420000,41.211113,423.013000,41.211113,0.000000,0.005088,0.012836,2937.896729,1341.472046,-2648.699951
58.344006,1.440000,41.211113,423.013153,41.211113,0.000000,-0.017484,0.017484,2937.896729,1341.472046,-2648.699951
59.168228,1.460000,41.211113,423.013336,41.211113,0.000000,-0.045891,0.045891,2937.896729,1341.472046,-2648.699951
59.992451,1.480000,41.211113,423.013550,41.211113,0.000000,-0.091357,0.091357,2937.896729,1341.472046,-2648.699951
60.816673,1.500000,41.211113,423.013733,41.211113,0.000000,-0.121644,0.121644,2937.896729,1341.472046,-2648.699951
61.640892,1.520000,41.211113,423.013916,41.211113,0.000000,-0.140046,0.140046,2937.896729,1341.472046,-2648.699951
62.465111,1.540000,41.211113,423.014099,41.211113,0.000000,-0.129571,0.129571,2937.896729,1341.472046,-2648.699951
63.289333,1.560000,41.211113,423.014282,41.211113,0.000000,-0.098760,0.098760,2937.896729,1341.472046,-2648.699951
64.113564,1.580000,41.211113,423.014465,41.211113,0.000000,-0.065228,0.065228,2937.896729,1341.472046,-2648.697998
64.937775,1.600000,41.211113,423.014648,41.211113,0.000000,-0.021994,0.021994,2937.896729,1341.472046,-2648.682373
65.762001,1.620000,41.211113,423.014832,41.211113,0.000000,0.064490,0.073405,2937.896729,1341.472046,-2648.661865
66.586227,1.640000,41.211113,423.015015,41.211113,0.000000,0.154376,0.154376,2937.896729,1341.472046,-2648.634766
67.410446,1.660000,41.211113,423.006989,41.211113,0.000000,0.229213,0.229213,2937.896729,1341.472046,-2648.577393
68.234665,1.680000,41.211113,422.993042,41.211113,0.000000,0.275043,0.275043,2937.896729,1341.472046,-2648.482178
69.058891,1.700000,41.211113,422.985016,41.211113,0.000000,0.285472,0.285472,2937.896729,1341.472046,-2648.370605
69.883118,1.720000,41.211113,422.976929,41.211113,0.000000,0.289242,0.289242,2937.896729,1341.472046,-2648.370605
70.707336,1.740000,41.211113,422.961792,41.211113,0.000000,0.263933,0.263933,2937.896729,1341.472046,-2648.425781
71.531555,1.760000,41.211113,422.945496,41.211113,0.000000,0.224215,0.224215,2937.896729,1341.472046,-2648.484863
72.355782,1.780000,41.211113,422.929199,41.211113,0.000000,0.185628,0.185628,2937.896729,1341.472046,-2648.553223
73.180000,1.800000,41.211113,422.916504,41.211113,0.000000,0.161999,0.161999,2937.896729,1341.472046,-2648.630859
74.004227,1.820000,41.211113,422.916687,41.211113,0.000000,0.161659,0.161659,2937.896729,1341.472046,-2648.681152
74.828445,1.840000,41.211113,422.916870,41.211113,0.000000,0.161562,0.161562,2937.896729,1341.472046,-2648.696777
75.652672,1.860000,41.211113,422.917084,41.211113,0.000000,0.184618,0.184618,2937.896729,1341.472046,-2648.699951
76.476883,1.880000,41.211113,422.917236,41.211113,0.000000,0.222307,0.222307,2937.896729,1341.472046,-2648.699951
77.301109,1.900000,41.211113,422.917450,41.211113,0.000000,0.260836,0.260836,2937.896729,1341.472046,-2648.699951
78.125328,1.920000,41.211113,422.917633,41.211113,0.000000,0.285561,0.285561,2937.896729,1341.472046,-2648.699951
78.949562,1.940000,41.211113,422.917786,41.211113,0.000000,0.285497,0.285497,2937.896729,1341.472046,-2648.699951
79.773788,1.960000,41.211113,422.917999,41.211113,0.000000,0.285282,0.285282,2937.896729,1341.472046,-2648.699951
80.598007,1.980000,41.211113,422.918182,41.211113,0.000000,0.263723,0.263723,2937.896729,1341.472046,-2648.699951
81.422226,2.000000,41.211113,422.918396,41.211113,0.000000,0.219116,0.219116,2937.896729,1341.472046,-2648.699951
82.246445,2.020000,41.211113,422.918549,41.211113,0.000000,0.160286,0.160286,2937.896729,1341.472046,-2648.699951
83.070663,2.040000,41.211113,422.918732,41.211113,0.000000,0.104515,0.104515,2937.896729,1341.472046,-2648.699951
83.894890,2.060000,41.211113,422.918915,41.211113,0.000000,0.080481,0.080481,2937.896729,1341.472046,-2648.699951
84.719109,2.080000,41.211113,422.919128,41.211113,0.000000,0.060020,0.060020,2937.896729,1341.472046,-2648.699951
85.543335,2.100000,41.211113,422.919312,41.211113,0.000000,0.033935,0.033935,2937.896729,1341.472046,-2648.699951
86.367554,2.120000,41.211113,422.919495,41.211113,0.000000,0.011208,0.011208,2937.896729,1341.472046,-2648.699951
87.191788,2.140000,41.211113,422.919678,41.211113,0.000000,0.000000,0.000000,2937.896729,1341.472046,-2648.699951
88.015999,2.160000,41.211113,422.919830,41.211113,0.000000,0.000000,0.000000,2937.896729,1341.472046,-2648.699951
88.840225,2.180000,41.211113,422.920044,41.211113,0.000000,0.000000,0.000000,2937.896729,1341.472046,-2648.699951
